iter	MultiClass
0	1.623134356
1	1.490158783
2	1.381105032
3	1.289595892
4	1.209100593
5	1.139836068
6	1.078692137
7	1.024531366
8	0.9754558983
9	0.9300004637
10	0.8894433807
11	0.8521103678
12	0.8180448725
13	0.7862288958
14	0.756949203
15	0.7299123257
16	0.7044830656
17	0.6804791628
18	0.6577548579
19	0.6365336648
20	0.6161215208
21	0.596970633
22	0.5796641602
23	0.5630427925
24	0.5472887897
25	0.53271317
26	0.5192927167
27	0.506666962
28	0.4944774491
29	0.4827214969
30	0.4722240283
31	0.4619972685
32	0.4521424933
33	0.4422429301
34	0.4324751717
35	0.4234342901
36	0.4147072905
37	0.4067733138
38	0.3989429896
39	0.3918957251
40	0.3852517056
41	0.3788145337
42	0.3724331794
43	0.3666045463
44	0.360863448
45	0.3555735514
46	0.3507032609
47	0.345744278
48	0.3412921618
49	0.33676808
50	0.3325225679
51	0.3287317916
52	0.3246562608
53	0.3209182247
54	0.3174383142
55	0.3140924632
56	0.310687565
57	0.3073236769
58	0.3036743029
59	0.3000466527
60	0.2966115912
61	0.2935731629
62	0.2903773671
63	0.2881562754
64	0.2855012878
65	0.2834565452
66	0.2808181932
67	0.2787035873
68	0.2767504317
69	0.2745356773
70	0.2724757921
71	0.2705836945
72	0.2685715832
73	0.2668423679
74	0.2648262348
75	0.2628225632
76	0.261054623
77	0.2583641706
78	0.2559650234
79	0.2534541803
80	0.2513148495
81	0.2493532543
82	0.2472095362
83	0.2455486912
84	0.2436651857
85	0.2418613236
86	0.2398107768
87	0.2382003413
88	0.2366140822
89	0.235117125
90	0.2338529896
91	0.2328838917
92	0.2315216186
93	0.2308045983
94	0.2293032995
95	0.2276985005
96	0.2261207573
97	0.2250046205
98	0.2237673274
99	0.2223425643
100	0.2210746661
101	0.2196508932
102	0.2184240202
103	0.2174067523
104	0.2162105912
105	0.2148016258
106	0.2137490301
107	0.2127829943
108	0.2118827085
109	0.2110574656
110	0.2100110093
111	0.2091511242
112	0.2084061342
113	0.2075781645
114	0.2068968223
115	0.2061197494
116	0.2048897077
117	0.2037251115
118	0.2026010378
119	0.2020015937
120	0.2010456428
121	0.1999026332
122	0.1990000166
123	0.1975572774
124	0.1969722143
125	0.1959075381
126	0.1949478091
127	0.1937502921
128	0.1930748607
129	0.1919294594
130	0.1909754127
131	0.1898081505
132	0.1887958946
133	0.1880639449
134	0.1870917698
135	0.186412865
136	0.1858644398
137	0.1850828271
138	0.1843458198
139	0.1833624324
140	0.1829343712
141	0.1819777957
142	0.1815504658
143	0.1807988642
144	0.1798999648
145	0.1790933836
146	0.178491106
147	0.177759522
148	0.1769645796
149	0.1763002081
150	0.1758474221
151	0.1754366516
152	0.1744655276
153	0.17368131
154	0.1731077638
155	0.172422735
156	0.1719830655
157	0.1711622557
158	0.1705136362
159	0.1700185605
160	0.1697318255
161	0.1692963302
162	0.1686320196
163	0.1680388673
164	0.167520773
165	0.1670851253
166	0.1663934696
167	0.1657794923
168	0.1651013341
169	0.1642562717
170	0.1636977767
171	0.1632579702
172	0.1628090232
173	0.1624550908
174	0.1619104284
175	0.1611536625
176	0.1607989075
177	0.1603605786
178	0.1596967099
179	0.1593573413
180	0.1587281147
181	0.1583221277
182	0.1578870437
183	0.157396066
184	0.1569547512
185	0.156580192
186	0.1562372739
187	0.1557529382
188	0.1553673953
189	0.155069646
190	0.1545090336
191	0.1539889589
192	0.1532919256
193	0.1529693754
194	0.1524080774
195	0.1520341275
196	0.1514425747
197	0.1511515742
198	0.150629062
199	0.1502961984
200	0.1498244308
201	0.1493798103
202	0.1487721703
203	0.1485251352
204	0.1483090861
205	0.1478522784
206	0.1475251122
207	0.1471471558
208	0.1465714464
209	0.1460398548
210	0.1454610986
211	0.1450172702
212	0.1446246587
213	0.1441117287
214	0.1438606109
215	0.1436229752
216	0.1432032775
217	0.1429471325
218	0.1419281279
219	0.1416258846
220	0.1410548673
221	0.1407231615
222	0.1405233823
223	0.1399503693
224	0.1396933255
225	0.1390119071
226	0.1386270954
227	0.1383494703
228	0.1378183662
229	0.1373593952
230	0.137030401
231	0.1367516943
232	0.1364353748
233	0.1356287936
234	0.1352738101
235	0.1349135405
236	0.1345318517
237	0.134187334
238	0.133656306
239	0.1333217057
240	0.1328489327
241	0.1324625061
242	0.1318498237
243	0.1315805774
244	0.1310896454
245	0.1308195612
246	0.1304290824
247	0.1297711245
248	0.1292594742
249	0.1286780215
250	0.1282214728
251	0.1278254031
252	0.1275557378
253	0.1271314471
254	0.1267983245
255	0.1263642154
256	0.1260304987
257	0.1254971399
258	0.12516273
259	0.1247984309
260	0.1245179723
261	0.1242381916
262	0.1239878888
263	0.1237130364
264	0.1235285903
265	0.1232868338
266	0.1229975471
267	0.1226907032
268	0.1223267773
269	0.1219683966
270	0.121719244
271	0.1214938412
272	0.1212183565
273	0.1210488474
274	0.120646608
275	0.1204235056
276	0.1201445247
277	0.1198030538
278	0.1195908818
279	0.1193453168
280	0.1191395659
281	0.1190247317
282	0.1187891374
283	0.1183995346
284	0.1181303949
285	0.1178074943
286	0.1175626986
287	0.1170684684
288	0.1169411195
289	0.1167846355
290	0.1164106095
291	0.1161865473
292	0.1157870652
293	0.1156467369
294	0.1150924846
295	0.1149105141
296	0.1146476356
297	0.1143906831
298	0.1141545708
299	0.113993448
300	0.1137960606
301	0.113483443
302	0.1133318034
303	0.1130991797
304	0.1128680946
305	0.1127311102
306	0.1126247919
307	0.1124370019
308	0.1122438191
309	0.1119780462
310	0.1116860478
311	0.1113973933
312	0.1110898029
313	0.1108931087
314	0.1107159826
315	0.1104136174
316	0.1100053377
317	0.1098445806
318	0.1096117207
319	0.1094516415
320	0.1092859866
321	0.1091507998
322	0.1088856209
323	0.1086021308
324	0.1083725919
325	0.1082045072
326	0.1080788188
327	0.1076081024
328	0.1072384866
329	0.1070119565
330	0.1066692593
331	0.1064119488
332	0.1061996016
333	0.1059949095
334	0.1056909677
335	0.1054484799
336	0.1052122305
337	0.1050658467
338	0.1049587057
339	0.1048354395
340	0.1046860774
341	0.1043815567
342	0.1042033033
343	0.1039785098
344	0.1037026062
345	0.1033893716
346	0.103086519
347	0.1028733873
348	0.1027532212
349	0.1025072525
350	0.1023965163
351	0.1022458974
352	0.1019172535
353	0.1016913937
354	0.1014821543
355	0.1012987746
356	0.1011921897
357	0.100944926
358	0.1006568124
359	0.100359703
360	0.1000812477
361	0.09995668659
362	0.09973159611
363	0.09955733399
364	0.09937358106
365	0.09909367853
366	0.09889199514
367	0.09873605956
368	0.09861008171
369	0.09836253627
370	0.09816976479
371	0.09796246766
372	0.0977076175
373	0.09737951448
374	0.09721475839
375	0.09708656399
376	0.09695620635
377	0.0968236017
378	0.09652061198
379	0.09627937343
380	0.09617227055
381	0.09594653262
382	0.09578492236
383	0.09567049191
384	0.09557095273
385	0.09543474523
386	0.09526336995
387	0.09501415638
388	0.09472755087
389	0.09456458478
390	0.09442120205
391	0.0942735614
392	0.09415539099
393	0.09403232284
394	0.09367796396
395	0.09339322462
396	0.09311272034
397	0.09299830512
398	0.09273046794
399	0.09258710044
400	0.09239708633
401	0.09226128252
402	0.09188010413
403	0.09171577459
404	0.09159115257
405	0.0913343296
406	0.09109236743
407	0.09093612717
408	0.0907818978
409	0.090629984
410	0.09040420799
411	0.09016013591
412	0.08987040742
413	0.08972602685
414	0.08956971804
415	0.08947632579
416	0.08937462338
417	0.08930502669
418	0.08909575675
419	0.08883957361
420	0.08853171662
421	0.08836475922
422	0.08822979329
423	0.08803487381
424	0.08787295126
425	0.0877626797
426	0.08759697149
427	0.08744484442
428	0.08735747723
429	0.08722468976
430	0.08710025055
431	0.08686918071
432	0.08677615408
433	0.08653664459
434	0.08633759669
435	0.08616185687
436	0.08598944568
437	0.08589000552
438	0.08573103075
439	0.08562702799
440	0.08545371038
441	0.08540695713
442	0.08518613979
443	0.08508155053
444	0.08485154707
445	0.08471330583
446	0.08455053778
447	0.08430540693
448	0.08417234525
449	0.08387957758
450	0.0836893578
451	0.08361081874
452	0.08340055097
453	0.08323003642
454	0.08312363431
455	0.08288797902
456	0.08272319247
457	0.08255890102
458	0.08239992626
459	0.08232863097
460	0.08217898705
461	0.08205962077
462	0.0818119763
463	0.08172549269
464	0.08161308075
465	0.08144004496
