iter	Passed	Remaining
0	232	465750
1	250	250662
2	267	178135
3	283	141330
4	298	119137
5	314	104600
6	330	94205
7	345	86119
8	361	80026
9	376	74887
10	395	71427
11	410	67992
12	429	65681
13	444	62987
14	458	60698
15	475	59006
16	492	57456
17	505	55712
18	520	54269
19	534	52950
20	548	51687
21	561	50473
22	574	49414
23	588	48468
24	602	47609
25	616	46812
26	630	46107
27	645	45446
28	659	44789
29	671	44125
30	686	43613
31	701	43164
32	715	42630
33	728	42130
34	741	41625
35	754	41161
36	768	40754
37	782	40376
38	794	39935
39	808	39604
40	821	39228
41	834	38908
42	847	38552
43	861	38279
44	875	38030
45	893	37939
46	906	37670
47	918	37369
48	931	37103
49	945	36871
50	957	36596
51	970	36361
52	984	36162
53	998	35976
54	1012	35816
55	1027	35659
56	1041	35500
57	1055	35328
58	1075	35378
59	1090	35246
60	1106	35173
61	1119	35007
62	1133	34856
63	1148	34739
64	1161	34578
65	1175	34436
66	1189	34312
67	1203	34189
68	1218	34097
69	1234	34035
70	1249	33936
71	1263	33822
72	1276	33703
73	1293	33672
74	1307	33551
75	1322	33477
76	1336	33377
77	1351	33291
78	1366	33218
79	1381	33151
80	1397	33098
81	1411	33007
82	1427	32977
83	1445	32964
84	1467	33057
85	1483	33011
86	1498	32946
87	1513	32877
88	1528	32822
89	1543	32758
90	1561	32764
91	1575	32677
92	1593	32668
93	1607	32590
94	1622	32527
95	1637	32486
96	1653	32433
97	1671	32445
98	1685	32356
99	1701	32334
100	1719	32330
101	1735	32295
102	1750	32243
103	1765	32190
104	1779	32116
105	1798	32132
106	1813	32085
107	1830	32059
108	1845	32008
109	1860	31968
110	1874	31898
111	1890	31864
112	1905	31818
113	1921	31787
114	1936	31744
115	1950	31681
116	1969	31699
117	1985	31669
118	2000	31627
119	2015	31580
120	2030	31536
121	2047	31518
122	2063	31488
123	2079	31465
124	2092	31391
125	2109	31367
126	2127	31373
127	2142	31341
128	2155	31269
129	2169	31211
130	2183	31156
131	2197	31103
132	2214	31092
133	2230	31066
134	2246	31031
135	2260	30976
136	2274	30931
137	2288	30874
138	2302	30823
139	2317	30791
140	2331	30738
141	2347	30712
142	2359	30646
143	2373	30597
144	2388	30550
145	2403	30517
146	2416	30463
147	2430	30418
148	2444	30366
149	2459	30330
150	2474	30297
151	2488	30260
152	2507	30274
153	2525	30273
154	2538	30220
155	2552	30174
156	2568	30148
157	2585	30144
158	2601	30116
159	2616	30090
160	2633	30084
161	2647	30037
162	2661	29999
163	2674	29946
164	2689	29915
165	2704	29884
166	2718	29834
167	2732	29795
168	2745	29747
169	2764	29760
170	2779	29725
171	2797	29727
172	2812	29698
173	2825	29649
174	2839	29608
175	2852	29564
176	2865	29508
177	2878	29463
178	2894	29441
179	2910	29423
180	2927	29425
181	2943	29397
182	2957	29360
183	2969	29312
184	2983	29266
185	2996	29226
186	3009	29181
187	3023	29144
188	3036	29100
189	3050	29058
190	3065	29030
191	3078	28985
192	3091	28949
193	3104	28904
194	3118	28864
195	3133	28837
196	3147	28810
197	3160	28767
198	3175	28736
199	3188	28697
200	3203	28676
201	3219	28657
202	3234	28634
203	3248	28601
204	3261	28558
205	3275	28522
206	3288	28485
207	3302	28455
208	3318	28437
209	3333	28413
210	3348	28391
211	3362	28360
212	3376	28328
213	3389	28291
214	3404	28267
215	3419	28238
216	3432	28201
217	3445	28163
218	3461	28148
219	3474	28110
220	3489	28086
221	3504	28065
222	3518	28036
223	3534	28021
224	3548	27990
225	3564	27976
226	3577	27942
227	3592	27919
228	3608	27904
229	3622	27876
230	3635	27840
231	3648	27805
232	3662	27778
233	3678	27759
234	3691	27724
235	3706	27705
236	3721	27681
237	3735	27651
238	3749	27630
239	3763	27601
240	3777	27572
241	3793	27560
242	3808	27537
243	3822	27508
244	3838	27496
245	3853	27474
246	3866	27441
247	3881	27421
248	3898	27414
249	3916	27412
250	3931	27397
251	3948	27390
252	3963	27365
253	3976	27334
254	3989	27302
255	4005	27285
256	4020	27266
257	4036	27254
258	4051	27234
259	4065	27209
260	4079	27183
261	4093	27155
262	4108	27135
263	4122	27107
264	4134	27070
265	4148	27042
266	4162	27016
267	4176	26988
268	4190	26967
269	4206	26953
270	4220	26929
271	4234	26899
272	4246	26866
273	4260	26840
274	4275	26816
275	4288	26789
276	4302	26764
277	4316	26738
