Brand,Processor,Graphic Processor,Capacity,RAM Type,RAM Speed,SSD Capacity,SSD Type,Graphics Memory,Battery Capacity,Battery Type,Weight,Warranty,Wi-Fi Version,Bluetooth Version,Price (Rs),Category,Processor Tier,GPU Tier
HP,Intel Core i5-1135G7,Intel Iris Xe Graphics,16.0,DDR4,3200.0,512.0,M.2/Optane,0,52.0,Li-Ion,1.41,1.0,6.0,5.0,71990.0,Business,Upper Midrange,Integrated
Acer,Intel Core i7-13700HX,NVIDIA GeForce RTX 4050,16.0,DDR5,5200.0,512.0,"2.5"" SATA",6,70.0,Li-Ion,2.6,1.0,5.0,5.1,105999.0,Gaming,High End,Midrange
Dell,Intel Core i5-8250U,AMD Radeon 530,8.0,DDR4,2400.0,256.0,"2.5"" SATA",4,52.0,Li-Ion,2.2,1.0,5.0,4.1,54999.0,Student,Upper Midrange,Other
MSI,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050,8.0,DDR4,2400.0,256.0,"2.5"" SATA",4,60.0,Li-Ion,2.2,1.0,5.0,4.2,67990.0,Student,High End,Entry Gaming
Dell,AMD Athlon 3050U,AMD Radeon Graphics,4.0,DDR4,2666.0,256.0,"2.5"" SATA",0,38.0,Li-Ion,1.8,1.0,5.0,5.0,42210.0,Budget,Budget,Integrated
HP,AMD Ryzen 5 4500U,AMD Radeon Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.7,1.0,5.0,4.2,47990.0,Business,Upper Midrange,Integrated
Lenovo,Intel Core i5-10210U,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,52.0,Li-Po,1.85,1.0,5.0,5.0,44990.0,Budget,Upper Midrange,Integrated
iBall,Intel Pentium Quad Core N4200,Intel HD Graphics,4.0,DDR3,1600.0,256.0,"2.5"" SATA",0,38.0,Li-Po,1.3,1.0,5.0,4.0,13990.0,Business,Budget,Integrated
Asus,AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3050,16.0,DDR4,3200.0,512.0,"2.5"" SATA",4,63.0,Li-Po,1.45,1.0,6.0,Unknown,89990.0,Gaming,High End,Entry Gaming
Asus,Intel Core i5-8250U,Intel UHD 620,8.0,DDR4,2133.0,256.0,"2.5"" SATA",0,90.0,Li-Po,1.25,1.0,5.0,4.1,45990.0,Business,Upper Midrange,Integrated
Lenovo,Intel Core i5-1135G7,Intel Iris Xe Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.65,1.0,5.0,5.0,81090.0,Business,Upper Midrange,Integrated
Asus,Intel Core i3-10110U,Intel UHD Graphics,4.0,DDR4,3200.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.5,1.0,6.0,5.0,46990.0,Business,Midrange,Integrated
Acer,Intel Core i5-7200U,NVIDIA GeForce MX130,8.0,DDR4,2400.0,256.0,"2.5"" SATA",2,50.0,Li-Ion,2.1,1.0,5.0,4.0,44890.0,Budget,Upper Midrange,Entry Gaming
